Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;13/02/1981;1200;1.8;;20.5;;;;;;
83676;14/02/1981;0000;;32.1;;9.4;4;25.76;67.75;2.133333;
83676;14/02/1981;1200;0;;20.4;;;;;;
83676;15/02/1981;0000;;32.2;;11.7;4.6;;;;
83676;15/02/1981;1200;0;;21.8;;;;;;
83676;16/02/1981;0000;;32.4;;10.4;6.3;26.28;64;3.566667;
83676;16/02/1981;1200;0;;21;;;;;;
83676;17/02/1981;0000;;32.3;;11.6;5.6;;;;
83676;17/02/1981;1200;0;;20.9;;;;;;
83676;18/02/1981;0000;;33.1;;9.7;7.2;26.02;59.75;2.5;
83676;18/02/1981;1200;0;;19.9;;;;;;
83676;19/02/1981;0000;;32.8;;8;6.3;25.3;67.25;2.933333;
83676;19/02/1981;1200;0;;20.6;;;;;;
83676;20/02/1981;0000;;30.6;;2.6;5.4;23.22;71.25;3.333333;
83676;20/02/1981;1200;9.5;;19.1;;;;;;
83676;21/02/1981;0000;;29.7;;4.3;3.3;;;;
83676;21/02/1981;1200;33.6;;18.4;;;;;;
83676;22/02/1981;0000;;30.4;;3.6;3.1;24.52;72.25;3.333333;
83676;22/02/1981;1200;0;;20.3;;;;;;
83676;23/02/1981;0000;;30.8;;5.7;4.5;25.12;66.5;2.533333;
83676;23/02/1981;1200;0;;20.4;;;;;;
83676;24/02/1981;0000;;30.1;;6.5;4.8;24.64;70.25;2.466667;
83676;24/02/1981;1200;0;;19.4;;;;;;
83676;25/02/1981;0000;;30;;4.6;4.6;25.74;66.75;2.566667;
83676;25/02/1981;1200;0;;21.6;;;;;;
83676;26/02/1981;0000;;31;;5.7;5.4;24.62;72.5;2.433333;
83676;26/02/1981;1200;0;;20.8;;;;;;
83676;27/02/1981;0000;;32.7;;10.8;3.9;;;;
83676;27/02/1981;1200;0;;19.8;;;;;;
83676;28/02/1981;0000;;34.9;;11.4;4.9;;;;
83676;28/02/1981;1200;0;;20.7;;;;;;
83676;01/03/1981;0000;;34.6;;10.6;6;;;;
83676;01/03/1981;1200;0;;21.9;;;;;;
83676;02/03/1981;0000;;35.5;;10.7;7.7;;;;
83676;02/03/1981;1200;0;;21.7;;;;;;
83676;03/03/1981;0000;;35;;8.8;6.2;;;;
83676;03/03/1981;1200;0;;23.3;;;;;;
83676;04/03/1981;0000;;34.9;;8.3;5.5;25.7;77.5;3.1;
83676;04/03/1981;1200;7.6;;20.9;;;;;;
83676;05/03/1981;0000;;29.9;;5;3.5;24.84;86.25;1.866667;
83676;05/03/1981;1200;27.1;;21.4;;;;;;
83676;06/03/1981;0000;;31.8;;6.1;2.4;25;82.5;2.566667;
83676;06/03/1981;1200;0;;21.9;;;;;;
83676;07/03/1981;0000;;32;;5.5;3.1;24.64;85.75;2.2;
83676;07/03/1981;1200;0.8;;21.4;;;;;;
83676;08/03/1981;0000;;30.4;;3.2;2.2;24.9;86.75;3.066667;
83676;08/03/1981;1200;18;;21.7;;;;;;
83676;09/03/1981;0000;;31;;6.2;2;;;;
83676;09/03/1981;1200;6.1;;21.3;;;;;;
83676;10/03/1981;0000;;32.4;;10.5;3.1;;;;
83676;10/03/1981;1200;0;;20;;;;;;
83676;11/03/1981;0000;;33.4;;10.6;4;;;;
83676;11/03/1981;1200;0;;20.1;;;;;;
83676;12/03/1981;0000;;33.3;;10;5;;;;
83676;12/03/1981;1200;0;;20.9;;;;;;
83676;13/03/1981;0000;;35;;10.7;6.3;;;;
83676;13/03/1981;1200;0;;20.7;;;;;;
83676;14/03/1981;0000;;34;;10.3;7.4;;;;
83676;14/03/1981;1200;0;;20.6;;;;;;
83676;15/03/1981;0000;;31.7;;4.5;5.5;;;;
83676;15/03/1981;1200;1.3;;23;;;;;;
83676;16/03/1981;0000;;29.6;;2.9;2.7;23.58;87.25;3.233333;
83676;16/03/1981;1200;0.5;;21;;;;;;
83676;17/03/1981;0000;;30.9;;5.5;1.6;24.22;83.75;2.433333;
83676;17/03/1981;1200;15;;20.6;;;;;;
83676;18/03/1981;0000;;28;;3.9;2.4;23.24;86.75;2.633333;
83676;18/03/1981;1200;32.8;;20;;;;;;
83676;19/03/1981;0000;;29.1;;4.1;2.7;23.42;76.5;3.233333;
83676;19/03/1981;1200;0;;19;;;;;;
83676;20/03/1981;0000;;29.4;;3;4.5;22.96;83;3.3;
83676;20/03/1981;1200;0;;18.2;;;;;;
83676;21/03/1981;0000;;31.8;;10.2;6.2;24;66.5;3.3;
83676;21/03/1981;1200;0;;19.6;;;;;;
83676;22/03/1981;0000;;30;;10.4;6.4;23.28;64.25;4.733333;
83676;22/03/1981;1200;0;;17.8;;;;;;
83676;23/03/1981;0000;;30.4;;8.5;7.3;23.4;69;4.1;
83676;23/03/1981;1200;0;;17.4;;;;;;
83676;24/03/1981;0000;;31;;10.1;6.5;;;;
83676;24/03/1981;1200;0;;18.1;;;;;;
83676;25/03/1981;0000;;30.1;;8.4;7;24.3;76.75;3.966667;
83676;25/03/1981;1200;0;;20;;;;;;
83676;26/03/1981;0000;;29.9;;6.9;5.4;;;;
83676;26/03/1981;1200;0.1;;19.7;;;;;;
83676;28/03/1981;0000;;25.5;;0.9;0.7;21.72;97.25;2.6;
83676;28/03/1981;1200;9.6;;20;;;;;;
83676;29/03/1981;0000;;28;;6.6;0.8;22.74;88.75;4.766667;
83676;29/03/1981;1200;52.7;;20.5;;;;;;
83676;30/03/1981;0000;;29.8;;9.5;3;23.58;77.75;3.766667;
83676;30/03/1981;1200;1.1;;19.4;;;;;;
83676;31/03/1981;0000;;29.7;;10.2;4.8;23.48;71;2.133333;
83676;31/03/1981;1200;0;;17.8;;;;;;
83676;01/04/1981;0000;;29.8;;10;5.1;22.88;66;2.266667;
83676;01/04/1981;1200;0;;16.8;;;;;;
83676;02/04/1981;0000;;29.9;;10;6.2;23.1;65.25;3.533333;
83676;02/04/1981;1200;0;;17.2;;;;;;
83676;03/04/1981;0000;;30.7;;10.2;5.5;;;;
83676;03/04/1981;1200;0;;18.1;;;;;;
83676;04/04/1981;0000;;31.3;;10.6;4;;;;
83676;04/04/1981;1200;0;;20.6;;;;;;
83676;05/04/1981;0000;;31.9;;10.4;4.4;;;;
83676;05/04/1981;1200;0;;19.3;;;;;;
83676;06/04/1981;0000;;30.9;;9.6;5.4;;;;
83676;06/04/1981;1200;0;;19.2;;;;;;
83676;07/04/1981;0000;;30.8;;9.9;5.6;;;;
83676;07/04/1981;1200;0;;18.4;;;;;;
83676;08/04/1981;0000;;31.1;;8.7;5.5;24;65.5;2.066667;
83676;08/04/1981;1200;0;;18.3;;;;;;
83676;09/04/1981;0000;;29.9;;9.5;5.6;22.76;63.5;3.7;
83676;09/04/1981;1200;0;;17.7;;;;;;
83676;10/04/1981;0000;;29.6;;10.2;7.4;21.38;61;3.6;
83676;10/04/1981;1200;0;;15.1;;;;;;
83676;11/04/1981;0000;;30.1;;9.9;6.2;21.84;67;2.433333;
83676;11/04/1981;1200;0;;15.1;;;;;;
83676;12/04/1981;0000;;31;;10.2;5.1;23.28;62.5;2.766667;
83676;12/04/1981;1200;0;;16.8;;;;;;
83676;13/04/1981;0000;;31.9;;10.1;6;24.14;62.5;2.866667;
83676;13/04/1981;1200;0;;18.1;;;;;;
83676;14/04/1981;0000;;31.2;;7.2;6.6;23.92;67;2.633333;
83676;14/04/1981;1200;0;;18.8;;;;;;
83676;15/04/1981;0000;;29.8;;3;4.7;23.28;79.25;3.266667;
83676;15/04/1981;1200;0;;20;;;;;;
83676;16/04/1981;0000;;28.6;;6.5;4;21.5;70.75;3.066667;
83676;16/04/1981;1200;0.1;;16.9;;;;;;
83676;17/04/1981;0000;;26.7;;10.1;5.1;19.8;70.25;6.166667;
83676;17/04/1981;1200;0;;15.1;;;;;;
83676;18/04/1981;0000;;26;;10.3;8.9;;;;
83676;18/04/1981;1200;0;;13.4;;;;;;
83676;19/04/1981;0000;;26.5;;8.8;7.9;;;;
83676;19/04/1981;1200;0;;12.8;;;;;;
83676;20/04/1981;0000;;28.9;;10.3;5.9;21.02;56.25;3.366667;
83676;20/04/1981;1200;0;;14.5;;;;;;
83676;21/04/1981;0000;;29.7;;10.3;6.5;22.3;54.25;3.033333;
83676;21/04/1981;1200;0;;16.1;;;;;;
83676;22/04/1981;0000;;29.8;;9.1;6.8;22.68;56.25;2.8;
83676;22/04/1981;1200;0;;16.9;;;;;;
83676;23/04/1981;0000;;28.5;;3.5;6;22.08;86;2.866667;
83676;23/04/1981;1200;0;;18.4;;;;;;
83676;24/04/1981;0000;;28.4;;3.4;1.8;21.94;81.5;2.666667;
83676;24/04/1981;1200;1.2;;18.2;;;;;;
83676;25/04/1981;0000;;31.1;;5.5;3.9;;;;
83676;25/04/1981;1200;0;;18.6;;;;;;
83676;26/04/1981;0000;;31.2;;7.5;5.8;;;;
83676;26/04/1981;1200;0;;19.7;;;;;;
83676;27/04/1981;0000;;30.8;;3.8;5.3;22.44;79.75;5.133333;
83676;27/04/1981;1200;0;;19;;;;;;
83676;28/04/1981;0000;;25.7;;0.5;3.8;;;;
83676;28/04/1981;1200;17.7;;17.8;;;;;;
83676;29/04/1981;0000;;24.6;;1.2;1.4;20.3;82;2.766667;
83676;29/04/1981;1200;0;;18.2;;;;;;
83676;30/04/1981;0000;;24.8;;9.8;3.4;;;;
83676;30/04/1981;1200;0;;12.3;;;;;;
83676;01/05/1981;0000;;27;;10;4.2;18.42;68.75;2.4;
83676;01/05/1981;1200;0;;10.8;;;;;;
